GEOID,scag_coverage_pct,scag_parcel_count,lac_coverage_pct,lac_parcel_count,coverage_diff
060371218022,6.49,11,11.72,17,5.23
060371219001,1.58,7,2.05,6,0.46999999999999975
060371219002,8.44,38,4.55,56,3.8899999999999997
060371220001,1.37,6,0.57,2,0.8000000000000002
060371220002,9.12,43,6.62,37,2.499999999999999
060371220003,1.35,8,1.35,7,0.0
060371221201,0.41,2,0.0,0,0.41
060371221202,7.57,17,2.74,6,4.83
060371221211,1.95,3,2.68,4,0.7300000000000002
060371221212,0.67,2,0.68,2,0.010000000000000009
060371221221,6.81,36,8.42,60,1.6100000000000003
060371221222,23.76,45,15.58,39,8.180000000000001
060371222001,3.7,13,1.96,23,1.7400000000000002
060371222002,6.67,12,2.05,12,4.62
060371224101,41.25,44,6.31,9,34.94
060371224102,12.58,18,7.49,17,5.09
060371224201,6.94,11,5.51,14,1.4300000000000006
060371224202,2.03,4,1.65,3,0.3799999999999999
060371224203,38.05,20,28.82,21,9.229999999999997
060371230101,7.53,21,1.89,13,5.640000000000001
060371230102,1.48,2,1.48,2,0.0
060371230201,0.0,0,0.0,0,0.0
060371230202,6.48,8,4.15,10,2.33
060371231031,6.95,24,4.17,17,2.7800000000000002
060371231032,10.41,12,6.67,9,3.74
060371231041,18.11,34,4.0,13,14.11
060371231042,16.5,1,0.0,0,16.5
060371231043,9.42,23,6.88,17,2.54
060371232031,15.45,18,3.55,8,11.899999999999999
060371232032,7.97,8,10.09,9,2.12
060371232033,11.88,11,13.44,14,1.5599999999999987
060371232041,0.0,0,0.0,0,0.0
060371232042,7.36,11,8.49,11,1.13
060371232051,4.67,17,3.49,9,1.1799999999999997
060371232052,11.41,40,9.5,42,1.9100000000000001
060371232061,7.82,23,4.39,15,3.4300000000000006
060371233011,4.2,11,3.1,13,1.1
060371233012,4.82,9,8.13,11,3.3100000000000005
060371233031,2.29,4,0.77,1,1.52
060371233032,25.0,26,16.39,18,8.61
060371233041,8.81,21,7.13,20,1.6800000000000006
060371233042,3.2,4,2.34,2,0.8600000000000003
060371233043,0.0,0,0.46,1,0.46
060371234101,9.0,15,7.47,13,1.5300000000000002
060371234102,1.43,3,0.0,0,1.43
060371234201,5.33,6,7.95,6,2.62
060371234202,1.87,5,1.87,5,0.0
060371234203,20.11,9,2.97,8,17.14
060371235101,6.63,15,4.62,8,2.01
060371235102,2.63,6,2.05,3,0.5800000000000001
060371235201,7.7,86,3.19,9,4.51
